Authors,Title,Year,DOI,Link
"Cuesta-Rubio O., Piccinelli A.L., Rastrelli L.",Tropical propolis: Recent advances in chemical components and botanical origin,2012,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878417531&partnerID=40&md5=3a5bc9536a32b503c863a4effd969573
"Jones S.M., van Zweden J.S., Grüter C., Menezes C., Alves D.A., Nunes-Silva P., Czaczkes T., Imperatriz-Fonseca V.L., Ratnieks F.L.W.","The role of wax and resin in the nestmate recognition system of a stingless bee, Tetragonisca angustula",2012,10.1007/s00265-011-1246-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855243967&doi=10.1007%2fs00265-011-1246-7&partnerID=40&md5=0c2ea180911414cac20cb5eba73b4548
"Leonhardt S.D., Schmitt T., Blüthgen N.","Tree resin composition, collection behavior and selective filters shape chemical profiles of tropical bees (apidae: Meliponini)",2011,10.1371/journal.pone.0023445,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79961198738&doi=10.1371%2fjournal.pone.0023445&partnerID=40&md5=ef0c256f6e41a28894aa1e650829d7e5
"Leonhardt S.D., Blüthgen N., Schmitt T.",Chemical profiles of body surfaces and nests from six Bornean stingless bee species,2011,10.1007/s10886-010-9900-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79251637496&doi=10.1007%2fs10886-010-9900-5&partnerID=40&md5=7a730d6a2cb0cf3b34704031e684c270
"Leonhardt S.D., Zeilhofer S., Blüthgen N., Schmitt T.",Stingless Bees use terpenes as olfactory cues to find resin sources,2010,10.1093/chemse/bjq058,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955872455&doi=10.1093%2fchemse%2fbjq058&partnerID=40&md5=14f792b7da162c85f3bcd032ac6d4e0f
"Simone-Finstrom M., Spivak M.",Propolis and bee health: The natural history and significance of resin use by honey bees,2010,10.1051/apido/2010016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953851182&doi=10.1051%2fapido%2f2010016&partnerID=40&md5=3eb9018870854c8e8c8875e2def9bf59
"Sawaya A.C.H.F., Abdelnur P.V., Eberlin M.N., Kumazawa S., Ahn M.-R., Bang K.-S., Nagaraja N., Bankova V.S., Afrouzan H.",Fingerprinting of propolis by easy ambient sonic-spray ionization mass spectrometry,2010,10.1016/j.talanta.2009.11.043,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77249139621&doi=10.1016%2fj.talanta.2009.11.043&partnerID=40&md5=03fd37ad86040ac752035f68c652d68b
"Leonhardt S.D., Blüthgen N.",A Sticky Affair: Resin Collection by Bornean Stingless Bees,2009,10.1111/j.1744-7429.2009.00535.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449469160&doi=10.1111%2fj.1744-7429.2009.00535.x&partnerID=40&md5=f2437bc2ab988a17153bffd0d573d983
"Farnesi A.P., Aquino-Ferreira R., De Jong D., Bastos J.K., Soares A.E.E.",Effects of stingless bee and honey bee propolis on four species of bacteria,2009,10.4238/vol8-2kerr023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649415065&doi=10.4238%2fvol8-2kerr023&partnerID=40&md5=ce55eddefd6e461dbce40c94eef5570a
"Seidel V., Peyfoon E., Watson D.G., Fearnley J.",Comparative study of the antibacterial activity of propolis from different geographical and climatic zones,2008,10.1002/ptr.2480,https://www.scopus.com/inward/record.uri?eid=2-s2.0-52649090230&doi=10.1002%2fptr.2480&partnerID=40&md5=e2f2f0655f97e2185777d030565d81f4
